Analysis,Author,Year,Trait Type,Species,Genus,Family,Order,Plant Species,Genus,Family,Order,n,t = trait means,S=trait standard deviations,R = # Species relative abundances,Link,OTHER LINK,Reference,Mutualism_type,Trait,Included in redundancy analysis,Source,Data Reported,Statistics Reported,Field/Experimental/Observational,,,,,,,
16A,Horvitz & Schemske,1986,Trait A. Seed Dispersal (cm),Pachycondyla harpax,Pachycondyla,Ponerinae,Hymenoptera,Calathea ovandens,Calathea,Marantaceae,Zingiberales,73,76,43,0.68224299,https://littlefireants.com/wp-content/uploads/Horvitz-1986.pdf,https://littlefireants.com/wp-content/uploads/Horvitz-1986.pdf,"Horvitz, C. C., & Schemske, D. W. (1986). Seed Dispersal of a Neotropical Myrmecochore: Variation in Removal Rates and Dispersal Distance. Biotropica, 18(4), 319–323. https://doi.org/10.2307/2388575",Seed Dispersal,Dispersal Distance,NO,Table 1,"n, mean, SD","Only mean, SD, and max",Field observational,,,,,,,
16A,Horvitz & Schemske,1986,Trait A. Seed Dispersal (cm),Pachycondyla apicalis,Pachycondyla,Ponerinae,Hymenoptera,Calathea ovandens,Calathea,Marantaceae,Zingiberales,8,925,635,0.07476636,https://littlefireants.com/wp-content/uploads/Horvitz-1986.pdf,https://littlefireants.com/wp-content/uploads/Horvitz-1986.pdf,"Horvitz, C. C., & Schemske, D. W. (1986). Seed Dispersal of a Neotropical Myrmecochore: Variation in Removal Rates and Dispersal Distance. Biotropica, 18(4), 319–323. https://doi.org/10.2307/2388575",Seed Dispersal,Dispersal Distance,NO,Table 1,"n, mean, SD","Only mean, SD, and max",Field observational,,,,,,,
16A,Horvitz & Schemske,1986,Trait A. Seed Dispersal (cm),Solenopsis geminata,Solenopsis,Myrmicinae,Hymenoptera,Calathea ovandens,Calathea,Marantaceae,Zingiberales,26,7.9,8.5,0.24299065,https://littlefireants.com/wp-content/uploads/Horvitz-1986.pdf,https://littlefireants.com/wp-content/uploads/Horvitz-1986.pdf,"Horvitz, C. C., & Schemske, D. W. (1986). Seed Dispersal of a Neotropical Myrmecochore: Variation in Removal Rates and Dispersal Distance. Biotropica, 18(4), 319–323. https://doi.org/10.2307/2388575",Seed Dispersal,Dispersal Distance,NO,Table 1,"n, mean, SD","Only mean, SD, and max",Field observational,,,,,,,
17A,Le Corff & Horvitz,1995,Trait A. Seed Dispersal (cm),Ectatomma rubidum,Ectatomma,Ectatomminae,Hymenoptera,Calathea micans,Calathea,Marantaceae,Zingiberales,22,22,23,0.18644068,https://www.jstor.org/stable/3545725?seq=1#metadata_info_tab_contents,https://www.jstor.org/stable/3545725?seq=1#metadata_info_tab_contents,"Le Corff, J., & Horvitz, C. C. (1995). Dispersal of Seeds from Chasmogamous and Cleistogamous Flowers in an Ant-Dispersed Neotropical Herb. Oikos, 73(1), 59–64. https://doi.org/10.2307/3545725",Seed Dispersal,Dispersal Distance,NO,Table 3,"n, mean, SD",X^2 and P-value,Field obervational,,,,,,,
17A,Le Corff & Horvitz,1995,Trait A. Seed Dispersal (cm),Ectatomma tuberculatum,Ectatomma,Ectatomminae,Hymenoptera,Calathea micans,Calathea,Marantaceae,Zingiberales,16,70,87,0.13559322,https://www.jstor.org/stable/3545725?seq=1#metadata_info_tab_contents,https://www.jstor.org/stable/3545725?seq=1#metadata_info_tab_contents,"Le Corff, J., & Horvitz, C. C. (1995). Dispersal of Seeds from Chasmogamous and Cleistogamous Flowers in an Ant-Dispersed Neotropical Herb. Oikos, 73(1), 59–64. https://doi.org/10.2307/3545725",Seed Dispersal,Dispersal Distance,NO,Table 3,"n, mean, SD",X^2 and P-value,Field obervational,,,,,,,
17A,Le Corff & Horvitz,1995,Trait A. Seed Dispersal (cm),Ectatomma sp. (LC),Ectatomma,Ectatomminae,Hymenoptera,Calathea micans,Calathea,Marantaceae,Zingiberales,11,32,37,0.09322034,https://www.jstor.org/stable/3545725?seq=1#metadata_info_tab_contents,https://www.jstor.org/stable/3545725?seq=1#metadata_info_tab_contents,"Le Corff, J., & Horvitz, C. C. (1995). Dispersal of Seeds from Chasmogamous and Cleistogamous Flowers in an Ant-Dispersed Neotropical Herb. Oikos, 73(1), 59–64. https://doi.org/10.2307/3545725",Seed Dispersal,Dispersal Distance,NO,Table 3,"n, mean, SD",X^2 and P-value,Field obervational,,,,,,,
17A,Le Corff & Horvitz,1995,Trait A. Seed Dispersal (cm),Pachycondyla apicalis,Pachycondyla,Ponerinae,Hymenoptera,Calathea micans,Calathea,Marantaceae,Zingiberales,14,55,84,0.11864407,https://www.jstor.org/stable/3545725?seq=1#metadata_info_tab_contents,https://www.jstor.org/stable/3545725?seq=1#metadata_info_tab_contents,"Le Corff, J., & Horvitz, C. C. (1995). Dispersal of Seeds from Chasmogamous and Cleistogamous Flowers in an Ant-Dispersed Neotropical Herb. Oikos, 73(1), 59–64. https://doi.org/10.2307/3545725",Seed Dispersal,Dispersal Distance,NO,Table 3,"n, mean, SD",X^2 and P-value,Field obervational,,,,,,,
17A,Le Corff & Horvitz,1995,Trait A. Seed Dispersal (cm),Aphaenogaster araneoides,Aphaenogaster,Myrmicinae,Hymenoptera,Calathea micans,Calathea,Marantaceae,Zingiberales,46,133,96,0.38983051,https://www.jstor.org/stable/3545725?seq=1#metadata_info_tab_contents,https://www.jstor.org/stable/3545725?seq=1#metadata_info_tab_contents,"Le Corff, J., & Horvitz, C. C. (1995). Dispersal of Seeds from Chasmogamous and Cleistogamous Flowers in an Ant-Dispersed Neotropical Herb. Oikos, 73(1), 59–64. https://doi.org/10.2307/3545725",Seed Dispersal,Dispersal Distance,NO,Table 3,"n, mean, SD",X^2 and P-value,Field obervational,,,,,,,
17A,Le Corff & Horvitz,1995,Trait A. Seed Dispersal (cm),Pheidole sp. (LC),Pheidole,Myrmicinae,Hymenoptera,Calathea micans,Calathea,Marantaceae,Zingiberales,9,25,62,0.07627119,https://www.jstor.org/stable/3545725?seq=1#metadata_info_tab_contents,https://www.jstor.org/stable/3545725?seq=1#metadata_info_tab_contents,"Le Corff, J., & Horvitz, C. C. (1995). Dispersal of Seeds from Chasmogamous and Cleistogamous Flowers in an Ant-Dispersed Neotropical Herb. Oikos, 73(1), 59–64. https://doi.org/10.2307/3545725",Seed Dispersal,Dispersal Distance,NO,Table 3,"n, mean, SD",X^2 and P-value,Field obervational,,,,,,,
18A,Pudlo et al,1980,Trait A. Seed Dispersal (m),Formica subsericea,Formica,Formicinae,Hymenoptera,Sanguinaria canadensis,Sanguinaria,Papaveraceae,Ranunculales,6,12,5.25,0.3333333,https://www.jstor.org/stable/4216124?seq=6#metadata_info_tab_contents,https://www.jstor.org/stable/4216124?seq=6#metadata_info_tab_contents,"Ronald J. Pudlo, Beattie, A. J., & Culver, D. C. (1980). Population Consequences of Changes in an Ant-Seed Mutualism in Sanguinaria canadensis. Oecologia, 46(1), 32–37. http://www.jstor.org/stable/4216124",Seed Dispersal,Dispersal Distance,NO,In-text,"n, mean, SD",Only mean and SD (statistics only compares between sites),Field observational,,,,,,,
18A,Pudlo et al,1980,Trait A. Seed Dispersal (m),Aphaenogaster rudis,Aphaenogaster,Myrmicinae,Hymenoptera,Sanguinaria canadensis,Sanguinaria,Papaveraceae,Ranunculales,12,0.62,0.29,0.6666667,https://www.jstor.org/stable/4216124?seq=6#metadata_info_tab_contents,https://www.jstor.org/stable/4216124?seq=6#metadata_info_tab_contents,"Ronald J. Pudlo, Beattie, A. J., & Culver, D. C. (1980). Population Consequences of Changes in an Ant-Seed Mutualism in Sanguinaria canadensis. Oecologia, 46(1), 32–37. http://www.jstor.org/stable/4216124",Seed Dispersal,Dispersal Distance,NO,In-text,"n, mean, SD",Only mean and SD (statistics only compares between sites),Field observational,,,,,,,
19A,Stamp & Lucas,1990,Trait A. Seed Dispersal (cm),Pogonomyrmex badius,Pogonomyrmex,Myrmicinae,Hymenoptera,Crotalaria rotundifolia,Crotalaria,Fabaceae,Fabales,9,868,564,0.4736842,https://www.jstor.org/stable/2260886?seq=9#metadata_info_tab_contents,https://www.jstor.org/stable/2260886?seq=9#metadata_info_tab_contents,"Stamp, N. E., & Lucas, J. R. (1990). Spatial Patterns and Dispersal Distances of Explosively Dispersing Plants in Florida Sandhill Vegetation. Journal of Ecology, 78(3), 589–600. https://doi.org/10.2307/2260886",Seed Dispersal,Dispersal Distance,NO,Table 3,"n, mean, SD",Only mean and SD,Field observational,,,,,,,
19A,Stamp & Lucas,1990,Trait A. Seed Dispersal (cm),Pheidole metallescens,Pheidole,Myrmicinae,Hymenoptera,Crotalaria rotundifolia,Crotalaria,Fabaceae,Fabales,10,15,16,0.5263158,https://www.jstor.org/stable/2260886?seq=9#metadata_info_tab_contents,https://www.jstor.org/stable/2260886?seq=9#metadata_info_tab_contents,"Stamp, N. E., & Lucas, J. R. (1990). Spatial Patterns and Dispersal Distances of Explosively Dispersing Plants in Florida Sandhill Vegetation. Journal of Ecology, 78(3), 589–600. https://doi.org/10.2307/2260886",Seed Dispersal,Dispersal Distance,NO,Table 3,"n, mean, SD",Only mean and SD,Field observational,,,,,,,
20A,Algado et al,2021,Trait A. Seed cleaning,Pheidole sp. 1 (Agaldo),Pheidole,Myrmicinae,Hymenoptera,Paullinia pinnata,Paullinia,Sapindaceae,Sapindales,71,17.75,36.31671,0.3227273,https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/interactions-between-ants-and-nonmyrmecochorous-diaspores-in-a-west-african-montane-landscape/20F855ACCFE3BC24FB1E397D2732C1D4,https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/interactions-between-ants-and-nonmyrmecochorous-diaspores-in-a-west-african-montane-landscape/20F855ACCFE3BC24FB1E397D2732C1D4,"Agaldo, Jennifer & Christianini, Alexander & Chapman, Hazel. (2021). Interactions between ants and non-myrmecochorous diaspores in a West African montane landscape. Journal of Tropical Ecology. 37. 1-9. 10.1017/S0266467420000231.",Seed Dispersal,Seed Manipulation,NO,In-text,"n, mean, SD",P-value and t-value,Field observational,,,,,,,
20A,Algado et al,2021,Trait A. Seed cleaning,Myrmicaria opaciventris,Myrmicaria,Myrmicinae,Hymenoptera,Paullinia pinnata,Paullinia,Sapindaceae,Sapindales,149,37.35,18.18777,0.6772727,https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/interactions-between-ants-and-nonmyrmecochorous-diaspores-in-a-west-african-montane-landscape/20F855ACCFE3BC24FB1E397D2732C1D4,https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/interactions-between-ants-and-nonmyrmecochorous-diaspores-in-a-west-african-montane-landscape/20F855ACCFE3BC24FB1E397D2732C1D4,"Agaldo, Jennifer & Christianini, Alexander & Chapman, Hazel. (2021). Interactions between ants and non-myrmecochorous diaspores in a West African montane landscape. Journal of Tropical Ecology. 37. 1-9. 10.1017/S0266467420000231.",Seed Dispersal,Seed Manipulation,NO,In-text,"n, mean, SD",P-value and t-value,Field observational,,,,,,,
21A,Verônica B. Magalhães et al,2018,Trait A. Seed Dispersal (m),Ectatomma edentatum,Ectatomma,Ectatomminae,Hymenoptera,Siparuna guianensis,Siparuna,Siparunaceae,Laurales,19,0.71,3.00764,0.1958763,https://onlinelibrary.wiley.com/doi/full/10.1111/een.12640,https://onlinelibrary.wiley.com/doi/full/10.1111/een.12640,"Magalhães, Verônica & Santo, Nádia & Salles, Luis & Júnior, Hélio & Oliveira, Paulo. (2018). Secondary seed dispersal by ants in Neotropical cerrado savanna: species‐specific effects on seeds and seedlings of Siparuna guianensis (Siparunaceae). Ecological Entomology. 43. 674. 10.1111/een.12640.",Seed Dispersal,Dispersal Distance,NO,Table 1,"n, mean, SD",One-way ANOVA and P-value,Field observational,,,,,,,
21A,Verônica B. Magalhães et al,2018,Trait A. Seed Dispersal (m),Pheidole megacephala,Pheidole,Myrmicinae,Hymenoptera,Siparuna guianensis,Siparuna,Siparunaceae,Laurales,30,1.03,4.436553,0.3092784,https://onlinelibrary.wiley.com/doi/full/10.1111/een.12640,https://onlinelibrary.wiley.com/doi/full/10.1111/een.12640,"Magalhães, Verônica & Santo, Nádia & Salles, Luis & Júnior, Hélio & Oliveira, Paulo. (2018). Secondary seed dispersal by ants in Neotropical cerrado savanna: species‐specific effects on seeds and seedlings of Siparuna guianensis (Siparunaceae). Ecological Entomology. 43. 674. 10.1111/een.12640.",Seed Dispersal,Dispersal Distance,NO,Table 1,"n, mean, SD",One-way ANOVA and P-value,Field observational,,,,,,,
21A,Verônica B. Magalhães et al,2018,Trait A. Seed Dispersal (m),Odontomachus chelifer,Odontomachus,Ponerinae,Hymenoptera,Siparuna guianensis,Siparuna,Siparunaceae,Laurales,24,0.86,3.576255,0.2474227,https://onlinelibrary.wiley.com/doi/full/10.1111/een.12640,https://onlinelibrary.wiley.com/doi/full/10.1111/een.12640,"Magalhães, Verônica & Santo, Nádia & Salles, Luis & Júnior, Hélio & Oliveira, Paulo. (2018). Secondary seed dispersal by ants in Neotropical cerrado savanna: species‐specific effects on seeds and seedlings of Siparuna guianensis (Siparunaceae). Ecological Entomology. 43. 674. 10.1111/een.12640.",Seed Dispersal,Dispersal Distance,NO,Table 1,"n, mean, SD",One-way ANOVA and P-value,Field observational,,,,,,,
21A,Verônica B. Magalhães et al,2018,Trait A. Seed Dispersal (m),Pachycondila striata,Pachycondila,Ponerinae,Hymenoptera,Siparuna guianensis,Siparuna,Siparunaceae,Laurales,24,0.69,2.253531,0.2474227,https://onlinelibrary.wiley.com/doi/full/10.1111/een.12640,https://onlinelibrary.wiley.com/doi/full/10.1111/een.12640,"Magalhães, Verônica & Santo, Nádia & Salles, Luis & Júnior, Hélio & Oliveira, Paulo. (2018). Secondary seed dispersal by ants in Neotropical cerrado savanna: species‐specific effects on seeds and seedlings of Siparuna guianensis (Siparunaceae). Ecological Entomology. 43. 674. 10.1111/een.12640.",Seed Dispersal,Dispersal Distance,NO,Table 1,"n, mean, SD",One-way ANOVA and P-value,Field observational,,,,,,,
22A,Gaume & Doyle,1999,Tarit A. Patrolling,Petalomyrmex sp. (Gaume),Petalomyrmex,Formicinae,Hymenoptera,Leonardoza africana,Leonardoza,Caesalpinioideae,Fabales,22,40.05,60.8,0.5365854,https://www.jstor.org/stable/3546873?origin=crossref&seq=14#metadata_info_tab_contents,https://www.jstor.org/stable/3546873?origin=crossref&seq=14#metadata_info_tab_contents,"Gaume, L., & McKey, D. (1999). An Ant-Plant Mutualism and Its Host-Specific Parasite: Activity Rhythms, Young Leaf Patrolling, and Effects on Herbivores of Two Specialist Plant-Ants Inhabiting the Same Myrmecophyte. Oikos, 84(1), 130–144. https://doi.org/10.2307/3546873",Plant Protection,Patrolling  / Aggressiveness,NO,In-text,"n, mean, SD",F-value and P-value,Not clear if field observational,,,,,,,
22A,Gaume & Doyle,1999,Tarit A. Patrolling,Cataulacus (Gaume),Cataulacus,Myrmicinae,Hymenoptera,Leonardoza africana,Leonardoza,Caesalpinioideae,Fabales,19,552.4,424.8,0.4634146,https://www.jstor.org/stable/3546873?origin=crossref&seq=14#metadata_info_tab_contents,https://www.jstor.org/stable/3546873?origin=crossref&seq=14#metadata_info_tab_contents,"Gaume, L., & McKey, D. (1999). An Ant-Plant Mutualism and Its Host-Specific Parasite: Activity Rhythms, Young Leaf Patrolling, and Effects on Herbivores of Two Specialist Plant-Ants Inhabiting the Same Myrmecophyte. Oikos, 84(1), 130–144. https://doi.org/10.2307/3546873",Plant Protection,Patrolling  / Aggressiveness,NO,In-text,"n, mean, SD",F-value and P-value,Not clear if field observational,,,,,,,
23A,Moog,2002,Trait A. Herbivory,Camponotus sp. (Moog),Camponotus,Formicinae,Hymenoptera,Zanthoxylum myriacanthum,Zanthoxylum,Rutaceae,Sapindales,9,2.77,2.69,0.07826087,https://www.researchgate.net/profile/Joachim-Moog/publication/232710704_On_the_caulinary_domatia_of_the_SE_Asian_ant-plant_Zanthoxylum_myriacanthum_Wall_ex_Hook_f_Rutaceae_their_influence_on_branch_statics_and_the_protection_against_herbivory/links/0fcfd508e4e46e3611000000/On-the-caulinary-domatia-of-the-SE-Asian-ant-plant-Zanthoxylum-myriacanthum-Wall-ex-Hook-f-Rutaceae-their-influence-on-branch-statics-and-the-protection-against-herbivory.pdf,https://www.researchgate.net/profile/Joachim-Moog/publication/232710704_On_the_caulinary_domatia_of_the_SE_Asian_ant-plant_Zanthoxylum_myriacanthum_Wall_ex_Hook_f_Rutaceae_their_influence_on_branch_statics_and_the_protection_against_herbivory/links/0fcfd508e4e46e3611000000/On-the-caulinary-domatia-of-the-SE-Asian-ant-plant-Zanthoxylum-myriacanthum-Wall-ex-Hook-f-Rutaceae-their-influence-on-branch-statics-and-the-protection-against-herbivory.pdf,"Moog, Joachim & Feldhaar, Heike & Maschwitz, Ulrich. (2002). On the caulinary domatia of the SE Asian ant-plant Zanthoxylum myriacanthum Wall. ex Hook. f. (Rutaceae), their influence on branch statics, and the protection against herbivory. Sociobiology. 40. 547-574.",Plant Protection,Herbivory,NO,Table 4,"n, mean, SD",P-value,Field experimental,,,,,,,
23A,Moog,2002,Trait A. Herbivory,Cardiocondyla sp. (Moog),Cardiocondyla,Myrmicinae,Hymenoptera,Zanthoxylum myriacanthum,Zanthoxylum,Rutaceae,Sapindales,14,3.41,5.35,0.12173913,https://www.researchgate.net/profile/Joachim-Moog/publication/232710704_On_the_caulinary_domatia_of_the_SE_Asian_ant-plant_Zanthoxylum_myriacanthum_Wall_ex_Hook_f_Rutaceae_their_influence_on_branch_statics_and_the_protection_against_herbivory/links/0fcfd508e4e46e3611000000/On-the-caulinary-domatia-of-the-SE-Asian-ant-plant-Zanthoxylum-myriacanthum-Wall-ex-Hook-f-Rutaceae-their-influence-on-branch-statics-and-the-protection-against-herbivory.pdf,https://www.researchgate.net/profile/Joachim-Moog/publication/232710704_On_the_caulinary_domatia_of_the_SE_Asian_ant-plant_Zanthoxylum_myriacanthum_Wall_ex_Hook_f_Rutaceae_their_influence_on_branch_statics_and_the_protection_against_herbivory/links/0fcfd508e4e46e3611000000/On-the-caulinary-domatia-of-the-SE-Asian-ant-plant-Zanthoxylum-myriacanthum-Wall-ex-Hook-f-Rutaceae-their-influence-on-branch-statics-and-the-protection-against-herbivory.pdf,"Moog, Joachim & Feldhaar, Heike & Maschwitz, Ulrich. (2002). On the caulinary domatia of the SE Asian ant-plant Zanthoxylum myriacanthum Wall. ex Hook. f. (Rutaceae), their influence on branch statics, and the protection against herbivory. Sociobiology. 40. 547-574.",Plant Protection,Herbivory,NO,Table 4,"n, mean, SD",P-value,Field experimental,,,,,,,
23A,Moog,2002,Trait A. Herbivory,Cataulacus sp. (Moog),Cataulacus,Myrmicinae,Hymenoptera,Zanthoxylum myriacanthum,Zanthoxylum,Rutaceae,Sapindales,8,2.86,2.09,0.06956522,https://www.researchgate.net/profile/Joachim-Moog/publication/232710704_On_the_caulinary_domatia_of_the_SE_Asian_ant-plant_Zanthoxylum_myriacanthum_Wall_ex_Hook_f_Rutaceae_their_influence_on_branch_statics_and_the_protection_against_herbivory/links/0fcfd508e4e46e3611000000/On-the-caulinary-domatia-of-the-SE-Asian-ant-plant-Zanthoxylum-myriacanthum-Wall-ex-Hook-f-Rutaceae-their-influence-on-branch-statics-and-the-protection-against-herbivory.pdf,https://www.researchgate.net/profile/Joachim-Moog/publication/232710704_On_the_caulinary_domatia_of_the_SE_Asian_ant-plant_Zanthoxylum_myriacanthum_Wall_ex_Hook_f_Rutaceae_their_influence_on_branch_statics_and_the_protection_against_herbivory/links/0fcfd508e4e46e3611000000/On-the-caulinary-domatia-of-the-SE-Asian-ant-plant-Zanthoxylum-myriacanthum-Wall-ex-Hook-f-Rutaceae-their-influence-on-branch-statics-and-the-protection-against-herbivory.pdf,"Moog, Joachim & Feldhaar, Heike & Maschwitz, Ulrich. (2002). On the caulinary domatia of the SE Asian ant-plant Zanthoxylum myriacanthum Wall. ex Hook. f. (Rutaceae), their influence on branch statics, and the protection against herbivory. Sociobiology. 40. 547-574.",Plant Protection,Herbivory,NO,Table 4,"n, mean, SD",P-value,Field experimental,,,,,,,
23A,Moog,2002,Trait A. Herbivory,Crematogaster sp. 2 (Moog),Crematogaster sp.2,Myrmicinae,Hymenoptera,Zanthoxylum myriacanthum,Zanthoxylum,Rutaceae,Sapindales,13,2.02,2.54,0.11304348,https://www.researchgate.net/profile/Joachim-Moog/publication/232710704_On_the_caulinary_domatia_of_the_SE_Asian_ant-plant_Zanthoxylum_myriacanthum_Wall_ex_Hook_f_Rutaceae_their_influence_on_branch_statics_and_the_protection_against_herbivory/links/0fcfd508e4e46e3611000000/On-the-caulinary-domatia-of-the-SE-Asian-ant-plant-Zanthoxylum-myriacanthum-Wall-ex-Hook-f-Rutaceae-their-influence-on-branch-statics-and-the-protection-against-herbivory.pdf,https://www.researchgate.net/profile/Joachim-Moog/publication/232710704_On_the_caulinary_domatia_of_the_SE_Asian_ant-plant_Zanthoxylum_myriacanthum_Wall_ex_Hook_f_Rutaceae_their_influence_on_branch_statics_and_the_protection_against_herbivory/links/0fcfd508e4e46e3611000000/On-the-caulinary-domatia-of-the-SE-Asian-ant-plant-Zanthoxylum-myriacanthum-Wall-ex-Hook-f-Rutaceae-their-influence-on-branch-statics-and-the-protection-against-herbivory.pdf,"Moog, Joachim & Feldhaar, Heike & Maschwitz, Ulrich. (2002). On the caulinary domatia of the SE Asian ant-plant Zanthoxylum myriacanthum Wall. ex Hook. f. (Rutaceae), their influence on branch statics, and the protection against herbivory. Sociobiology. 40. 547-574.",Plant Protection,Herbivory,NO,Table 4,"n, mean, SD",P-value,Field experimental,,,,,,,
23A,Moog,2002,Trait A. Herbivory,Crematogaster sp. 3 (Moog),Crematogaster sp.3,Myrmicinae,Hymenoptera,Zanthoxylum myriacanthum,Zanthoxylum,Rutaceae,Sapindales,46,1.74,2.51,0.4,https://www.researchgate.net/profile/Joachim-Moog/publication/232710704_On_the_caulinary_domatia_of_the_SE_Asian_ant-plant_Zanthoxylum_myriacanthum_Wall_ex_Hook_f_Rutaceae_their_influence_on_branch_statics_and_the_protection_against_herbivory/links/0fcfd508e4e46e3611000000/On-the-caulinary-domatia-of-the-SE-Asian-ant-plant-Zanthoxylum-myriacanthum-Wall-ex-Hook-f-Rutaceae-their-influence-on-branch-statics-and-the-protection-against-herbivory.pdf,https://www.researchgate.net/profile/Joachim-Moog/publication/232710704_On_the_caulinary_domatia_of_the_SE_Asian_ant-plant_Zanthoxylum_myriacanthum_Wall_ex_Hook_f_Rutaceae_their_influence_on_branch_statics_and_the_protection_against_herbivory/links/0fcfd508e4e46e3611000000/On-the-caulinary-domatia-of-the-SE-Asian-ant-plant-Zanthoxylum-myriacanthum-Wall-ex-Hook-f-Rutaceae-their-influence-on-branch-statics-and-the-protection-against-herbivory.pdf,"Moog, Joachim & Feldhaar, Heike & Maschwitz, Ulrich. (2002). On the caulinary domatia of the SE Asian ant-plant Zanthoxylum myriacanthum Wall. ex Hook. f. (Rutaceae), their influence on branch statics, and the protection against herbivory. Sociobiology. 40. 547-574.",Plant Protection,Herbivory,NO,Table 4,"n, mean, SD",P-value,Field experimental,,,,,,,
23A,Moog,2002,Trait A. Herbivory,Crematogaster sp. 6 (Moog),Crematogaster sp.6,Myrmicinae,Hymenoptera,Zanthoxylum myriacanthum,Zanthoxylum,Rutaceae,Sapindales,15,5.98,4.85,0.13043478,https://www.researchgate.net/profile/Joachim-Moog/publication/232710704_On_the_caulinary_domatia_of_the_SE_Asian_ant-plant_Zanthoxylum_myriacanthum_Wall_ex_Hook_f_Rutaceae_their_influence_on_branch_statics_and_the_protection_against_herbivory/links/0fcfd508e4e46e3611000000/On-the-caulinary-domatia-of-the-SE-Asian-ant-plant-Zanthoxylum-myriacanthum-Wall-ex-Hook-f-Rutaceae-their-influence-on-branch-statics-and-the-protection-against-herbivory.pdf,https://www.researchgate.net/profile/Joachim-Moog/publication/232710704_On_the_caulinary_domatia_of_the_SE_Asian_ant-plant_Zanthoxylum_myriacanthum_Wall_ex_Hook_f_Rutaceae_their_influence_on_branch_statics_and_the_protection_against_herbivory/links/0fcfd508e4e46e3611000000/On-the-caulinary-domatia-of-the-SE-Asian-ant-plant-Zanthoxylum-myriacanthum-Wall-ex-Hook-f-Rutaceae-their-influence-on-branch-statics-and-the-protection-against-herbivory.pdf,"Moog, Joachim & Feldhaar, Heike & Maschwitz, Ulrich. (2002). On the caulinary domatia of the SE Asian ant-plant Zanthoxylum myriacanthum Wall. ex Hook. f. (Rutaceae), their influence on branch statics, and the protection against herbivory. Sociobiology. 40. 547-574.",Plant Protection,Herbivory,NO,Table 4,"n, mean, SD",P-value,Field experimental,,,,,,,
23A,Moog,2002,Trait A. Herbivory,Technomyrmex sp. 1 (Moog),Technomyrmex sp.1,Myrmicinae,Hymenoptera,Zanthoxylum myriacanthum,Zanthoxylum,Rutaceae,Sapindales,10,1.48,1.95,0.08695652,https://www.researchgate.net/profile/Joachim-Moog/publication/232710704_On_the_caulinary_domatia_of_the_SE_Asian_ant-plant_Zanthoxylum_myriacanthum_Wall_ex_Hook_f_Rutaceae_their_influence_on_branch_statics_and_the_protection_against_herbivory/links/0fcfd508e4e46e3611000000/On-the-caulinary-domatia-of-the-SE-Asian-ant-plant-Zanthoxylum-myriacanthum-Wall-ex-Hook-f-Rutaceae-their-influence-on-branch-statics-and-the-protection-against-herbivory.pdf,https://www.researchgate.net/profile/Joachim-Moog/publication/232710704_On_the_caulinary_domatia_of_the_SE_Asian_ant-plant_Zanthoxylum_myriacanthum_Wall_ex_Hook_f_Rutaceae_their_influence_on_branch_statics_and_the_protection_against_herbivory/links/0fcfd508e4e46e3611000000/On-the-caulinary-domatia-of-the-SE-Asian-ant-plant-Zanthoxylum-myriacanthum-Wall-ex-Hook-f-Rutaceae-their-influence-on-branch-statics-and-the-protection-against-herbivory.pdf,"Moog, Joachim & Feldhaar, Heike & Maschwitz, Ulrich. (2002). On the caulinary domatia of the SE Asian ant-plant Zanthoxylum myriacanthum Wall. ex Hook. f. (Rutaceae), their influence on branch statics, and the protection against herbivory. Sociobiology. 40. 547-574.",Plant Protection,Herbivory,NO,Table 4,"n, mean, SD",P-value,Field experimental,,,,,,,
24A,Bas et al,2009,Trait A. Seed Manipulation,Aphaenogaster subterranea,Aphaenogaster,Myrmicinae,Hymenoptera,Rhamnus alaternus,Rhamnus,Rhamnaceae,Rosales,16,3,3.52,0.1666667,https://www.sciencedirect.com/science/article/pii/S1146609X0900023X,https://www.sciencedirect.com/science/article/pii/S1146609X0900023X,"Bas, JM & Gómez, OC. (2009). Myrmecochory and short-term seed fate in Rhamnus alaternus: Ant species and seed characteristics. Acta Oecologica. 35. 380-384. 10.1016/j.actao.2009.02.003.",Seed Dispersal,Seed Manipulation,NO,Table 2,"n, mean, SD",P-value,Field observational,,,,,,,
24A,Bas et al,2009,Trait A. Seed Manipulation,Aphaenogaster senilis,Aphaenogaster,Myrmicinae,Hymenoptera,Rhamnus alaternus,Rhamnus,Rhamnaceae,Rosales,16,8,2.48,0.1666667,https://www.sciencedirect.com/science/article/pii/S1146609X0900023X,https://www.sciencedirect.com/science/article/pii/S1146609X0900023X,"Bas, JM & Gómez, OC. (2009). Myrmecochory and short-term seed fate in Rhamnus alaternus: Ant species and seed characteristics. Acta Oecologica. 35. 380-384. 10.1016/j.actao.2009.02.003.",Seed Dispersal,Seed Manipulation,NO,Table 2,"n, mean, SD",P-value,Field observational,,,,,,,
