Supplementary Table 9. Pairwise comparison of AA similarity acros Picorna-like viruses,,,,,
Species 1,Species 2,Names 1,Names 2,disimilarity,similarity
SINV-1,PaV-1,Solenopsis invicta virus 1,Pasivirus A1,0.97,0.03
ArMV,ERAV,Arabis mosaic virus,Equine rhinitis B virus 1,0.97,0.03
BatIV,POLIO1A,Bat iflavirus (Yinda et al. 2016),Human poliovirus 1 Mahoney,0.97,0.03
OilV-1,KuV-A1,Osiphanes invirae iflavirus 1,Kunsagivirus A1,0.97,0.03
BQCV,SEIV-2,Black queen cell virus,Spodoptera exigua iflavirus 2,0.97,0.03
CPMV,PaV-1,Cowpea mosaic virus,Pasivirus A1,0.97,0.03
BatIV,CV-A1,Bat iflavirus (Yinda et al. 2016),Cardiovirus A1,0.97,0.03
BatIV,AiV-1,Bat iflavirus (Yinda et al. 2016),Aichi virus 1,0.97,0.03
BQCV,AiV-1,Black queen cell virus,Aichi virus 1,0.97,0.03
KBV,HPeV-1,Kashmir bee virus,Human parechovirus 1,0.97,0.03
FEX-1,HPeV-1,Formica exsecta virus 1,Human parechovirus 1,0.97,0.03
SEIV-2,AiV-1,Spodoptera exigua iflavirus 2,Aichi virus 1,0.97,0.03
IFV,FSak1,Infectious flacherie virus,Feline sakobuvirus A,0.97,0.03
BQCV,SV-NG-J1,Black queen cell virus,Salivirus NG-J1,0.97,0.03
SBV,OsV-A1,Sacbrood virus,Oscivirus A1,0.97,0.03
CRLV,THV-2993D,Cherry rasp leaf virus,Turkey hepatitis virus 2993D,0.97,0.03
SiV-A,PaV-1,Sicinivirus A,Pasivirus A1,0.97,0.03
BBV,MoV-A1,Brevicoryne brassicae virus,Mosavirus A1,0.97,0.03
ApIV,AV-A1,Antheraea pernyi iflavirus,Aquamavirus A1,0.97,0.03
SBPV,BHuV-1,Slow bee paralysis virus,Bovine hungarovirus 1,0.97,0.03
KBV,SV-NG-J1,Kashmir bee virus,Salivirus NG-J1,0.97,0.03
FEX-1,SV-NG-J1,Formica exsecta virus 1,Salivirus NG-J1,0.97,0.03
BBV,CPDV,Brevicoryne brassicae virus,Canine picodicistrovirus,0.97,0.03
AoV-3,THV-2993D,Putative A. octoarticulatus virus 1 (g2275 i0),Turkey hepatitis virus 2993D,0.97,0.03
BQCV,PaV-1,Black queen cell virus,Pasivirus A1,0.97,0.03
ArMV,PaV-1,Arabis mosaic virus,Pasivirus A1,0.97,0.03
CRLV,AoV-8,Cherry rasp leaf virus,Putative A. octoarticulatus virus 7 (g3814 i0),0.97,0.03
IFV,MSPV-1,Infectious flacherie virus,Miniopterus schreibersii picornavirus 1,0.97,0.03
IFV,AoV-8,Infectious flacherie virus,Putative A. octoarticulatus virus 7 (g3814 i0),0.97,0.03
NIHV-2,MSPV-1,Nilaparvata lugens honeydew virus-2,Miniopterus schreibersii picornavirus 1,0.97,0.03
FeV-2,SV-NG-J1,Formica exsecta virus 2,Salivirus NG-J1,0.97,0.03
DWV,PasV-A1,Deformed wing virus,Passerivirus A1,0.97,0.03
BQCV,TuASV,Black queen cell virus,Turkey avisivirus,0.97,0.03
NLHV-1,PasV-A1,Nilaparvata lugens honeydew virus 1,Passerivirus A1,0.97,0.03
IAPV,HPeV-1,Israeli acute paralysis virus,Human parechovirus 1,0.97,0.03
SBPV,SV-NG-J1,Slow bee paralysis virus,Salivirus NG-J1,0.97,0.03
KgV,PEV-8,King virus,Porcine enterovirus 8,0.97,0.03
FEX-1,THV-2993D,Formica exsecta virus 1,Turkey hepatitis virus 2993D,0.97,0.03
ABPV,THV-2993D,Acute bee paralysis virus,Turkey hepatitis virus 2993D,0.97,0.03
BQCV,PasV-A1,Black queen cell virus,Passerivirus A1,0.97,0.03
SBV,SiV-A,Sacbrood virus,Sicinivirus A,0.97,0.03
PNV,CPDV,Perina nuda virus,Canine picodicistrovirus,0.96,0.04
NIHV-2,IFV,Nilaparvata lugens honeydew virus-2,Infectious flacherie virus,0.96,0.04
OilV-1,PNV,Osiphanes invirae iflavirus 1,Perina nuda virus,0.96,0.04
NIHV-2,ERAV,Nilaparvata lugens honeydew virus-2,Equine rhinitis B virus 1,0.96,0.04
KBV,FMDV-O1K,Kashmir bee virus,Foot and mouth disease virus,0.96,0.04
FEX-1,FMDV-O1K,Formica exsecta virus 1,Foot and mouth disease virus,0.96,0.04
ABPV,FMDV-O1K,Acute bee paralysis virus,Foot and mouth disease virus,0.96,0.04
AoV-4,OsV-A1,Putative A. octoarticulatus virus 2 (g5994 i0),Oscivirus A1,0.96,0.04
SBPV,HPeV-1,Slow bee paralysis virus,Human parechovirus 1,0.96,0.04
LHUV-1,SenV-A1,Linepithema humile virus 1,Senecavirus A1,0.96,0.04
CRLV,SenV-A1,Cherry rasp leaf virus,Senecavirus A1,0.96,0.04
SINV-16,HAV, Solenopsis invicta virus 16,Hepatovirus A,0.96,0.04
MSPV-1,PaV-1,Miniopterus schreibersii picornavirus 1,Pasivirus A1,0.96,0.04
AoV-7,PaV-1,Putative A. octoarticulatus virus 6 (g3684 i0),Pasivirus A1,0.96,0.04
AoV-5,CV-A1,Putative A. octoarticulatus virus 4 (g1894 i0),Cardiovirus A1,0.96,0.04
AoV-3,AEV-1,Putative A. octoarticulatus virus 1 (g2275 i0),Tremovirus A1,0.96,0.04
SEIV-2,RoM-7,Spodoptera exigua iflavirus 2,Rosavirus M-7,0.96,0.04
SEIV-2,DHAV-1,Spodoptera exigua iflavirus 2,Duck hepatitis A virus 1,0.96,0.04
SEIV-1,SEIV-2,Spodoptera exigua iflavirus 1,Spodoptera exigua iflavirus 2,0.96,0.04
STV9,PEV-8,Soybean thrips iflavirus 9,Porcine enterovirus 8,0.96,0.04
ApIV,MSPV-1,Antheraea pernyi iflavirus,Miniopterus schreibersii picornavirus 1,0.96,0.04
DWV,CosV-A1,Deformed wing virus,Cosavirus A1,0.96,0.04
SBPV,SiV-A,Slow bee paralysis virus,Sicinivirus A,0.96,0.04
LHUV-1,OilV-1,Linepithema humile virus 1,Osiphanes invirae iflavirus 1,0.96,0.04
SINV-11,AoV-8, Solenopsis invicta virus 11,Putative A. octoarticulatus virus 7 (g3814 i0),0.96,0.04
EoV,POLIO1A,Ectropis obliqua virus,Human poliovirus 1 Mahoney,0.96,0.04
CRLV,CosV-A1,Cherry rasp leaf virus,Cosavirus A1,0.96,0.04
FEX-1,ERAV,Formica exsecta virus 1,Equine rhinitis B virus 1,0.96,0.04
FeV-2,FSak1,Formica exsecta virus 2,Feline sakobuvirus A,0.96,0.04
NLHV-1,OsV-A1,Nilaparvata lugens honeydew virus 1,Oscivirus A1,0.96,0.04
SEIV-1,GaV-A1,Spodoptera exigua iflavirus 1,Gallivirus A1,0.96,0.04
AoV-2,CPDV,Putative A. octoarticulatus virus 3 (g6982 i4),Canine picodicistrovirus,0.96,0.04
CV-A1,TuASV,Cardiovirus A1,Turkey avisivirus,0.96,0.04
STV9,AV-A1,Soybean thrips iflavirus 9,Aquamavirus A1,0.96,0.04
STV9,IFV,Soybean thrips iflavirus 9,Infectious flacherie virus,0.96,0.04
SINV-11,HPeV-1, Solenopsis invicta virus 11,Human parechovirus 1,0.96,0.04
NIHV-2,AV-A1,Nilaparvata lugens honeydew virus-2,Aquamavirus A1,0.96,0.04
EoV,HAV,Ectropis obliqua virus,Hepatovirus A,0.96,0.04
IFV,KuV-A1,Infectious flacherie virus,Kunsagivirus A1,0.96,0.04
KgV,CosV-A1,King virus,Cosavirus A1,0.96,0.04
BQCV,CPDV,Black queen cell virus,Canine picodicistrovirus,0.96,0.04
VdV-1,PEV-8,Varroa destructor virus 1,Porcine enterovirus 8,0.96,0.04
AoV-3,RoM-7,Putative A. octoarticulatus virus 1 (g2275 i0),Rosavirus M-7,0.96,0.04
LHUV-1,DHAV-1,Linepithema humile virus 1,Duck hepatitis A virus 1,0.96,0.04
CPMV,FMDV-O1K,Cowpea mosaic virus,Foot and mouth disease virus,0.96,0.04
SBV,GaV-A1,Sacbrood virus,Gallivirus A1,0.96,0.04
IAPV,CV-A1,Israeli acute paralysis virus,Cardiovirus A1,0.96,0.04
BBV,ERAV,Brevicoryne brassicae virus,Equine rhinitis B virus 1,0.96,0.04
AoV-5,GaV-A1,Putative A. octoarticulatus virus 4 (g1894 i0),Gallivirus A1,0.96,0.04
ABPV,MoV-A1,Acute bee paralysis virus,Mosavirus A1,0.96,0.04
BatIV,TesV-A1,Bat iflavirus (Yinda et al. 2016),Teschovirus A1,0.96,0.04
SEIV-1,AV-A1,Spodoptera exigua iflavirus 1,Aquamavirus A1,0.96,0.04
AoV-3,BQCV,Putative A. octoarticulatus virus 1 (g2275 i0),Black queen cell virus,0.96,0.04
SINV-1,TesV-A1,Solenopsis invicta virus 1,Teschovirus A1,0.96,0.04
SINV-1,BHuV-1,Solenopsis invicta virus 1,Bovine hungarovirus 1,0.96,0.04
DWV,AEV-1,Deformed wing virus,Tremovirus A1,0.96,0.04
FEX-1,IFV,Formica exsecta virus 1,Infectious flacherie virus,0.96,0.04
OilV-1,EoV,Osiphanes invirae iflavirus 1,Ectropis obliqua virus,0.96,0.04
AoV-3,BHuV-1,Putative A. octoarticulatus virus 1 (g2275 i0),Bovine hungarovirus 1,0.96,0.04
TplV-1,KuV-A1,Thaumetopoea pityocampa iflavirus 1,Kunsagivirus A1,0.96,0.04
BBV,KuV-A1,Brevicoryne brassicae virus,Kunsagivirus A1,0.96,0.04
IFV,MoV-A1,Infectious flacherie virus,Mosavirus A1,0.96,0.04
VdV-1,AoV-8,Varroa destructor virus 1,Putative A. octoarticulatus virus 7 (g3814 i0),0.96,0.04
PNV,AV-A1,Perina nuda virus,Aquamavirus A1,0.96,0.04
EoV,PaV-1,Ectropis obliqua virus,Pasivirus A1,0.96,0.04
SBV,THV-2993D,Sacbrood virus,Turkey hepatitis virus 2993D,0.96,0.04
BQCV,HPeV-1,Black queen cell virus,Human parechovirus 1,0.96,0.04
BatIV,OsV-A1,Bat iflavirus (Yinda et al. 2016),Oscivirus A1,0.96,0.04
DcPV,HPeV-1,Dinocampus coccinellae paralysis virus,Human parechovirus 1,0.96,0.04
NLHV-1,KuV-A1,Nilaparvata lugens honeydew virus 1,Kunsagivirus A1,0.96,0.04
ABPV,SV-NG-J1,Acute bee paralysis virus,Salivirus NG-J1,0.96,0.04
ALPV,FMDV-O1K,Aphid lethal paralysis virus,Foot and mouth disease virus,0.96,0.04
SBV,HAV,Sacbrood virus,Hepatovirus A,0.96,0.04
SEIV-2,MoV-A1,Spodoptera exigua iflavirus 2,Mosavirus A1,0.96,0.04
AoV-2,FSak1,Putative A. octoarticulatus virus 3 (g6982 i4),Feline sakobuvirus A,0.96,0.04
SINV-1,POLIO1A,Solenopsis invicta virus 1,Human poliovirus 1 Mahoney,0.96,0.04
CPMV,POLIO1A,Cowpea mosaic virus,Human poliovirus 1 Mahoney,0.96,0.04
LdIV-1,MSPV-1,Lymantria dispar iflavirus 1,Miniopterus schreibersii picornavirus 1,0.96,0.04
SINV-11,LimV-A1, Solenopsis invicta virus 11,Limnipivirus A1,0.96,0.04
VdV-1,AEV-1,Varroa destructor virus 1,Tremovirus A1,0.96,0.04
SINV-11,HAV, Solenopsis invicta virus 11,Hepatovirus A,0.96,0.04
AoV-4,MoV-A1,Putative A. octoarticulatus virus 2 (g5994 i0),Mosavirus A1,0.96,0.04
ApIV,DHAV-1,Antheraea pernyi iflavirus,Duck hepatitis A virus 1,0.96,0.04
BatIV,HPeV-1,Bat iflavirus (Yinda et al. 2016),Human parechovirus 1,0.96,0.04
LHUV-1,AEV-1,Linepithema humile virus 1,Tremovirus A1,0.96,0.04
SEIV-2,PaV-1,Spodoptera exigua iflavirus 2,Pasivirus A1,0.96,0.04
DcPV,GaV-A1,Dinocampus coccinellae paralysis virus,Gallivirus A1,0.96,0.04
ArMV,HPeV-1,Arabis mosaic virus,Human parechovirus 1,0.96,0.04
AoV-4,AoV-8,Putative A. octoarticulatus virus 2 (g5994 i0),Putative A. octoarticulatus virus 7 (g3814 i0),0.96,0.04
SBPV,AoV-8,Slow bee paralysis virus,Putative A. octoarticulatus virus 7 (g3814 i0),0.96,0.04
ABPV,AoV-8,Acute bee paralysis virus,Putative A. octoarticulatus virus 7 (g3814 i0),0.96,0.04
BatIV,PEV-8,Bat iflavirus (Yinda et al. 2016),Porcine enterovirus 8,0.96,0.04
AoV-7,CV-A1,Putative A. octoarticulatus virus 6 (g3684 i0),Cardiovirus A1,0.96,0.04
AoV-6,BHuV-1,Putative A. octoarticulatus virus 5 (g2855 i0),Bovine hungarovirus 1,0.96,0.04
NLHV-1,SiV-A,Nilaparvata lugens honeydew virus 1,Sicinivirus A,0.96,0.04
SEIV-1,OsV-A1,Spodoptera exigua iflavirus 1,Oscivirus A1,0.96,0.04
BatIV,THV-2993D,Bat iflavirus (Yinda et al. 2016),Turkey hepatitis virus 2993D,0.96,0.04
CRLV,DHAV-1,Cherry rasp leaf virus,Duck hepatitis A virus 1,0.96,0.04
SBV,ERAV,Sacbrood virus,Equine rhinitis B virus 1,0.96,0.04
STV9,SV-NG-J1,Soybean thrips iflavirus 9,Salivirus NG-J1,0.96,0.04
AoV-8,PasV-A1,Putative A. octoarticulatus virus 7 (g3814 i0),Passerivirus A1,0.96,0.04
ALPV,THV-2993D,Aphid lethal paralysis virus,Turkey hepatitis virus 2993D,0.96,0.04
KgV,AiV-1,King virus,Aichi virus 1,0.96,0.04
PNV,KuV-A1,Perina nuda virus,Kunsagivirus A1,0.96,0.04
ALPV,CV-A1,Aphid lethal paralysis virus,Cardiovirus A1,0.96,0.04
STV9,SenV-A1,Soybean thrips iflavirus 9,Senecavirus A1,0.96,0.04
AoV-3,MSPV-1,Putative A. octoarticulatus virus 1 (g2275 i0),Miniopterus schreibersii picornavirus 1,0.96,0.04
LdIV-1,ERAV,Lymantria dispar iflavirus 1,Equine rhinitis B virus 1,0.96,0.04
AoV-3,PasV-A1,Putative A. octoarticulatus virus 1 (g2275 i0),Passerivirus A1,0.96,0.04
AoV-3,SiV-A,Putative A. octoarticulatus virus 1 (g2275 i0),Sicinivirus A,0.96,0.04
KBV,SiV-A,Kashmir bee virus,Sicinivirus A,0.96,0.04
FEX-1,SiV-A,Formica exsecta virus 1,Sicinivirus A,0.96,0.04
ABPV,SiV-A,Acute bee paralysis virus,Sicinivirus A,0.96,0.04
FeV-2,OsV-A1,Formica exsecta virus 2,Oscivirus A1,0.96,0.04
AoV-6,MoV-A1,Putative A. octoarticulatus virus 5 (g2855 i0),Mosavirus A1,0.96,0.04
ApIV,HPeV-1,Antheraea pernyi iflavirus,Human parechovirus 1,0.96,0.04
STV9,BHuV-1,Soybean thrips iflavirus 9,Bovine hungarovirus 1,0.96,0.04
SBPV,OsV-A1,Slow bee paralysis virus,Oscivirus A1,0.96,0.04
SINV-11,DHAV-1, Solenopsis invicta virus 11,Duck hepatitis A virus 1,0.96,0.04
LHUV-1,SV-NG-J1,Linepithema humile virus 1,Salivirus NG-J1,0.96,0.04
SBPV,PasV-A1,Slow bee paralysis virus,Passerivirus A1,0.96,0.04
STV9,OsV-A1,Soybean thrips iflavirus 9,Oscivirus A1,0.96,0.04
SBV,CPDV,Sacbrood virus,Canine picodicistrovirus,0.96,0.04
ArMV,CPDV,Arabis mosaic virus,Canine picodicistrovirus,0.96,0.04
ApIV,AoV-8,Antheraea pernyi iflavirus,Putative A. octoarticulatus virus 7 (g3814 i0),0.96,0.04
IAPV,AoV-8,Israeli acute paralysis virus,Putative A. octoarticulatus virus 7 (g3814 i0),0.96,0.04
IFV,AV-A1,Infectious flacherie virus,Aquamavirus A1,0.96,0.04
CRLV,MoV-A1,Cherry rasp leaf virus,Mosavirus A1,0.96,0.04
STV9,AiV-1,Soybean thrips iflavirus 9,Aichi virus 1,0.96,0.04
SBV,AiV-1,Sacbrood virus,Aichi virus 1,0.96,0.04
IAPV,AiV-1,Israeli acute paralysis virus,Aichi virus 1,0.96,0.04
GaV-A1,PaV-1,Gallivirus A1,Pasivirus A1,0.96,0.04
KgV,LimV-A1,King virus,Limnipivirus A1,0.96,0.04
CPMV,CV-A1,Cowpea mosaic virus,Cardiovirus A1,0.96,0.04
IAPV,ERAV,Israeli acute paralysis virus,Equine rhinitis B virus 1,0.96,0.04
ABPV,ERAV,Acute bee paralysis virus,Equine rhinitis B virus 1,0.96,0.04
NLHV-1,FSak1,Nilaparvata lugens honeydew virus 1,Feline sakobuvirus A,0.96,0.04
SINV-16,TuASV, Solenopsis invicta virus 16,Turkey avisivirus,0.96,0.04
OilV-1,TuASV,Osiphanes invirae iflavirus 1,Turkey avisivirus,0.96,0.04
CosV-A1,PaV-1,Cosavirus A1,Pasivirus A1,0.96,0.04
EoV,PEV-8,Ectropis obliqua virus,Porcine enterovirus 8,0.96,0.04
IAPV,TesV-A1,Israeli acute paralysis virus,Teschovirus A1,0.96,0.04
ABPV,BHuV-1,Acute bee paralysis virus,Bovine hungarovirus 1,0.96,0.04
FSak1,PaV-1,Feline sakobuvirus A,Pasivirus A1,0.96,0.04
TplV-1,SiV-A,Thaumetopoea pityocampa iflavirus 1,Sicinivirus A,0.96,0.04
SBV,AoV-8,Sacbrood virus,Putative A. octoarticulatus virus 7 (g3814 i0),0.96,0.04
DWV,PEV-8,Deformed wing virus,Porcine enterovirus 8,0.96,0.04
BQCV,BatPI,Black queen cell virus,Bat picornavirus,0.96,0.04
VdV-1,CosV-A1,Varroa destructor virus 1,Cosavirus A1,0.96,0.04
NIHV-2,BHuV-1,Nilaparvata lugens honeydew virus-2,Bovine hungarovirus 1,0.96,0.04
LdIV-1,DHAV-1,Lymantria dispar iflavirus 1,Duck hepatitis A virus 1,0.96,0.04
PNV,PaV-1,Perina nuda virus,Pasivirus A1,0.96,0.04
STV9,GaV-A1,Soybean thrips iflavirus 9,Gallivirus A1,0.96,0.04
KBV,CV-A1,Kashmir bee virus,Cardiovirus A1,0.96,0.04
FEX-1,CV-A1,Formica exsecta virus 1,Cardiovirus A1,0.96,0.04
NIHV-2,TuASV,Nilaparvata lugens honeydew virus-2,Turkey avisivirus,0.96,0.04
STV9,AEV-1,Soybean thrips iflavirus 9,Tremovirus A1,0.96,0.04
CPMV,AEV-1,Cowpea mosaic virus,Tremovirus A1,0.96,0.04
STV9,HAV,Soybean thrips iflavirus 9,Hepatovirus A,0.96,0.04
NLHV-1,PEV-8,Nilaparvata lugens honeydew virus 1,Porcine enterovirus 8,0.96,0.04
BatIV,BHuV-1,Bat iflavirus (Yinda et al. 2016),Bovine hungarovirus 1,0.96,0.04
NLHV-1,RoM-7,Nilaparvata lugens honeydew virus 1,Rosavirus M-7,0.96,0.04
KBV,PaV-1,Kashmir bee virus,Pasivirus A1,0.96,0.04
SBV,CosV-A1,Sacbrood virus,Cosavirus A1,0.96,0.04
LHUV-1,FSak1,Linepithema humile virus 1,Feline sakobuvirus A,0.96,0.04
AoV-4,GaV-A1,Putative A. octoarticulatus virus 2 (g5994 i0),Gallivirus A1,0.96,0.04
AoV-3,TesV-A1,Putative A. octoarticulatus virus 1 (g2275 i0),Teschovirus A1,0.96,0.04
IFV,OsV-A1,Infectious flacherie virus,Oscivirus A1,0.96,0.04
LdIV-1,HPeV-1,Lymantria dispar iflavirus 1,Human parechovirus 1,0.96,0.04
ABPV,HPeV-1,Acute bee paralysis virus,Human parechovirus 1,0.96,0.04
EoV,CosV-A1,Ectropis obliqua virus,Cosavirus A1,0.96,0.04
EoV,CPDV,Ectropis obliqua virus,Canine picodicistrovirus,0.96,0.04
BQCV,CRLV,Black queen cell virus,Cherry rasp leaf virus,0.96,0.04
STV9,ERAV,Soybean thrips iflavirus 9,Equine rhinitis B virus 1,0.96,0.04
SINV-16,SEIV-2, Solenopsis invicta virus 16,Spodoptera exigua iflavirus 2,0.96,0.04
IAPV,SV-NG-J1,Israeli acute paralysis virus,Salivirus NG-J1,0.96,0.04
NIHV-2,KuV-A1,Nilaparvata lugens honeydew virus-2,Kunsagivirus A1,0.96,0.04
CPMV,HAV,Cowpea mosaic virus,Hepatovirus A,0.96,0.04
STV9,AoV-8,Soybean thrips iflavirus 9,Putative A. octoarticulatus virus 7 (g3814 i0),0.96,0.04
BQCV,POLIO1A,Black queen cell virus,Human poliovirus 1 Mahoney,0.96,0.04
AoV-6,ERAV,Putative A. octoarticulatus virus 5 (g2855 i0),Equine rhinitis B virus 1,0.96,0.04
IAPV,PaV-1,Israeli acute paralysis virus,Pasivirus A1,0.96,0.04
AoV-2,DHAV-1,Putative A. octoarticulatus virus 3 (g6982 i4),Duck hepatitis A virus 1,0.96,0.04
AoV-4,LimV-A1,Putative A. octoarticulatus virus 2 (g5994 i0),Limnipivirus A1,0.96,0.04
FeV-2,LimV-A1,Formica exsecta virus 2,Limnipivirus A1,0.96,0.04
IAPV,IFV,Israeli acute paralysis virus,Infectious flacherie virus,0.96,0.04
VdV-1,KuV-A1,Varroa destructor virus 1,Kunsagivirus A1,0.96,0.04
ALPV,OsV-A1,Aphid lethal paralysis virus,Oscivirus A1,0.96,0.04
TplV-1,GaV-A1,Thaumetopoea pityocampa iflavirus 1,Gallivirus A1,0.96,0.04
TplV-1,LimV-A1,Thaumetopoea pityocampa iflavirus 1,Limnipivirus A1,0.96,0.04
PNV,POLIO1A,Perina nuda virus,Human poliovirus 1 Mahoney,0.96,0.04
IFV,BatPI,Infectious flacherie virus,Bat picornavirus,0.96,0.04
BatIV,CosV-A1,Bat iflavirus (Yinda et al. 2016),Cosavirus A1,0.96,0.04
CPMV,RoM-7,Cowpea mosaic virus,Rosavirus M-7,0.96,0.04
SV-NG-J1,PaV-1,Salivirus NG-J1,Pasivirus A1,0.96,0.04
IFV,FMDV-O1K,Infectious flacherie virus,Foot and mouth disease virus,0.96,0.04
PNV,HAV,Perina nuda virus,Hepatovirus A,0.96,0.04
TplV-1,AiV-1,Thaumetopoea pityocampa iflavirus 1,Aichi virus 1,0.96,0.04
ApIV,MoV-A1,Antheraea pernyi iflavirus,Mosavirus A1,0.96,0.04
AoV-5,MoV-A1,Putative A. octoarticulatus virus 4 (g1894 i0),Mosavirus A1,0.96,0.04
EoV,SiV-A,Ectropis obliqua virus,Sicinivirus A,0.96,0.04
IAPV,FMDV-O1K,Israeli acute paralysis virus,Foot and mouth disease virus,0.96,0.04
AoV-6,CV-A1,Putative A. octoarticulatus virus 5 (g2855 i0),Cardiovirus A1,0.96,0.04
AoV-4,CosV-A1,Putative A. octoarticulatus virus 2 (g5994 i0),Cosavirus A1,0.96,0.04
IAPV,SiV-A,Israeli acute paralysis virus,Sicinivirus A,0.96,0.04
BatIV,GaV-A1,Bat iflavirus (Yinda et al. 2016),Gallivirus A1,0.96,0.04
FEX-1,AoV-8,Formica exsecta virus 1,Putative A. octoarticulatus virus 7 (g3814 i0),0.96,0.04
AoV-7,AoV-8,Putative A. octoarticulatus virus 6 (g3684 i0),Putative A. octoarticulatus virus 7 (g3814 i0),0.96,0.04
AoV-4,PasV-A1,Putative A. octoarticulatus virus 2 (g5994 i0),Passerivirus A1,0.96,0.04
SBV,EPV-1,Sacbrood virus,Eel picornavirus 1,0.96,0.04
EoV,KuV-A1,Ectropis obliqua virus,Kunsagivirus A1,0.96,0.04
CRLV,EoV,Cherry rasp leaf virus,Ectropis obliqua virus,0.96,0.04
NIHV-2,FMDV-O1K,Nilaparvata lugens honeydew virus-2,Foot and mouth disease virus,0.96,0.04
SEIV-2,PasV-A1,Spodoptera exigua iflavirus 2,Passerivirus A1,0.96,0.04
ApIV,KuV-A1,Antheraea pernyi iflavirus,Kunsagivirus A1,0.96,0.04
SBV,SenV-A1,Sacbrood virus,Senecavirus A1,0.96,0.04
DWV,BQCV,Deformed wing virus,Black queen cell virus,0.96,0.04
LHUV-1,CV-A1,Linepithema humile virus 1,Cardiovirus A1,0.96,0.04
SINV-1,MSPV-1,Solenopsis invicta virus 1,Miniopterus schreibersii picornavirus 1,0.96,0.04
TplV-1,MoV-A1,Thaumetopoea pityocampa iflavirus 1,Mosavirus A1,0.96,0.04
NIHV-2,SiV-A,Nilaparvata lugens honeydew virus-2,Sicinivirus A,0.96,0.04
BQCV,RoM-7,Black queen cell virus,Rosavirus M-7,0.96,0.04
SEIV-1,THV-2993D,Spodoptera exigua iflavirus 1,Turkey hepatitis virus 2993D,0.96,0.04
ArMV,HAV,Arabis mosaic virus,Hepatovirus A,0.96,0.04
LHUV-1,PEV-8,Linepithema humile virus 1,Porcine enterovirus 8,0.96,0.04
KBV,PEV-8,Kashmir bee virus,Porcine enterovirus 8,0.96,0.04
BQCV,MoV-A1,Black queen cell virus,Mosavirus A1,0.96,0.04
LHUV-1,AiV-1,Linepithema humile virus 1,Aichi virus 1,0.96,0.04
FEX-1,AiV-1,Formica exsecta virus 1,Aichi virus 1,0.96,0.04
AoV-3,FMDV-O1K,Putative A. octoarticulatus virus 1 (g2275 i0),Foot and mouth disease virus,0.96,0.04
BBV,FMDV-O1K,Brevicoryne brassicae virus,Foot and mouth disease virus,0.96,0.04
FEX-1,SenV-A1,Formica exsecta virus 1,Senecavirus A1,0.96,0.04
AoV-6,SV-NG-J1,Putative A. octoarticulatus virus 5 (g2855 i0),Salivirus NG-J1,0.96,0.04
AoV-4,FSak1,Putative A. octoarticulatus virus 2 (g5994 i0),Feline sakobuvirus A,0.96,0.04
LdIV-1,GaV-A1,Lymantria dispar iflavirus 1,Gallivirus A1,0.96,0.04
KgV,HPeV-1,King virus,Human parechovirus 1,0.96,0.04
AoV-7,IFV,Putative A. octoarticulatus virus 6 (g3684 i0),Infectious flacherie virus,0.96,0.04
VdV-1,MoV-A1,Varroa destructor virus 1,Mosavirus A1,0.96,0.04
SINV-11,MoV-A1, Solenopsis invicta virus 11,Mosavirus A1,0.96,0.04
LdIV-1,AoV-8,Lymantria dispar iflavirus 1,Putative A. octoarticulatus virus 7 (g3814 i0),0.96,0.04
AoV-7,SEIV-1,Putative A. octoarticulatus virus 6 (g3684 i0),Spodoptera exigua iflavirus 1,0.96,0.04
NLHV-1,CV-A1,Nilaparvata lugens honeydew virus 1,Cardiovirus A1,0.96,0.04
FeV-2,AV-A1,Formica exsecta virus 2,Aquamavirus A1,0.96,0.04
AoV-2,KuV-A1,Putative A. octoarticulatus virus 3 (g6982 i4),Kunsagivirus A1,0.96,0.04
VdV-1,BQCV,Varroa destructor virus 1,Black queen cell virus,0.96,0.04
SINV-1,FMDV-O1K,Solenopsis invicta virus 1,Foot and mouth disease virus,0.96,0.04
LdIV-1,TesV-A1,Lymantria dispar iflavirus 1,Teschovirus A1,0.96,0.04
AoV-5,THV-2993D,Putative A. octoarticulatus virus 4 (g1894 i0),Turkey hepatitis virus 2993D,0.96,0.04
BBV,BQCV,Brevicoryne brassicae virus,Black queen cell virus,0.96,0.04
AoV-6,OilV-1,Putative A. octoarticulatus virus 5 (g2855 i0),Osiphanes invirae iflavirus 1,0.96,0.04
BatIV,SenV-A1,Bat iflavirus (Yinda et al. 2016),Senecavirus A1,0.96,0.04
SBV,MoV-A1,Sacbrood virus,Mosavirus A1,0.96,0.04
LdIV-1,TuASV,Lymantria dispar iflavirus 1,Turkey avisivirus,0.96,0.04
KBV,DHAV-1,Kashmir bee virus,Duck hepatitis A virus 1,0.96,0.04
FEX-1,DHAV-1,Formica exsecta virus 1,Duck hepatitis A virus 1,0.96,0.04
ABPV,DHAV-1,Acute bee paralysis virus,Duck hepatitis A virus 1,0.96,0.04
AoV-2,MSPV-1,Putative A. octoarticulatus virus 3 (g6982 i4),Miniopterus schreibersii picornavirus 1,0.96,0.04
LdIV-1,SV-NG-J1,Lymantria dispar iflavirus 1,Salivirus NG-J1,0.96,0.04
ApIV,GaV-A1,Antheraea pernyi iflavirus,Gallivirus A1,0.96,0.04
